rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
1,Leila Hormozi,3.1,4225,390,4667,Teacher,Business Strategy,Thought Leadership,Hook -> Insight -> Close,Just 8 years ago:,"Just 8 years ago: ⃗⃗→ We ate at 7-Eleven. ⃗⃗→ Slept in extended stays. ⃗⃗→ Had $1,000 saved after 19 months of work.  Recently: ⃗⃗→ Our companies cros","Just 8 years ago:
⃗⃗→ We ate at 7-Eleven.
⃗⃗→ Slept in extended stays.
⃗⃗→ Had $1,000 saved after 19 months of work.

Recently:
⃗⃗→ Our companies crossed $250,000,000 in revenue.
⃗⃗→ We bought our second building in Las Vegas.
⃗⃗→ We grew holding company team at acquisition (dot) com to 100 employees.

Success is accessible to anyone willing to do the work required. Big visions never make sense to small-minded people. If you want to have a greater impact. You’ll have to make greater sacrifices.

My message to you: Don’t let anybody kill your dreams ❤️",https://www.linkedin.com/posts/leilahormozi_8-years-ago-activity-7410363780091707392-nQdD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
2,Leila Hormozi,2.4,3077,372,3577,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7426301288889548800-PMJd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE9RxIABTzVWAJdUWiMfVOc97D6SdiB2L20
3,Leila Hormozi,2.1,2766,339,3205,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7417611552469692416-gY6h?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACduEjUB9RjUluiHlrWu9gJkcoqkDVIC-IE
4,Leila Hormozi,2.1,2439,587,3095,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,Discipline is boring.,Discipline is boring. Hard work is boring. Studying is boring. Doing the same thing everyday is boring. Boredom is the birthplace of success. So... be,"Discipline is boring.
Hard work is boring.
Studying is boring.
Doing the same thing everyday is boring.
Boredom is the birthplace of success.
So... be a boring person for the time being.",https://www.linkedin.com/posts/leilahormozi_discipline-is-boring-hard-work-is-boring-activity-7425214124835377152-kaE7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE9RxIABTzVWAJdUWiMfVOc97D6SdiB2L20
5,Leila Hormozi,2.1,2605,312,3082,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,Discipline is boring.,Discipline is boring. Hard work is boring. Studying is boring. Doing the same thing everyday is boring. Boredom is the birthplace of success. So-be a ,"Discipline is boring.
Hard work is boring.
Studying is boring.
Doing the same thing everyday is boring.
Boredom is the birthplace of success.
So-be a boring person for the time being.",https://www.linkedin.com/posts/leilahormozi_discipline-is-boring-hard-work-is-boring-activity-7428479392823128065-O0BO?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAER_BBABGhA9dGZybaazDxY9GE7jgGPFMtc
6,Leila Hormozi,1.9,2497,228,2891,Teacher,Leadership,Personal Perspective,Hook -> Reflection -> Close,,,,https://www.linkedin.com/posts/leilahormozi_activity-7406377506200551426-Mlm7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACTIj54B0UvtOEbCnas4KB9jkB0pASBFpUw
7,Leila Hormozi,1.8,2334,329,2770,Teacher,Leadership,Thought Leadership,Observation -> Question,agree?,agree?,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7411820908031643648-k9U7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
8,Leila Hormozi,1.8,2401,305,2755,Teacher,Motherhood / Family,Thought Leadership,Hook -> List -> Insight,People with self-discipline don’t have more willpower.,People with self-discipline don’t have more willpower.  It's the opposite.   They figure out how to alter their environment to make it as easy as poss,"People with self-discipline don’t have more willpower.

It's the opposite. 

They figure out how to alter their environment to make it as easy as possible to hit their goals.

It’s not about ‘gritting’ your way to success.

It’s about engineering an environment that makes it easier to succeed than fail.

I hope this helps ONE person to achieve their goals for 2026. 

- Leila 💅",https://www.linkedin.com/posts/leilahormozi_people-with-self-discipline-dont-have-more-activity-7415803364757671936-x0yQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_ifSIBLNKN-CYmgkfIGEtul2vGCEXomr8
9,Leila Hormozi,1.8,2272,374,2709,Teacher,Finance / Money,Direct Advice,Hook -> Punch Line,I don't care how rich you are.,I don't care how rich you are.  I don't care what your title is.  I don't care how educated you are. I don't care how popular you are. I don't care ho,"I don't care how rich you are. 
I don't care what your title is. 
I don't care how educated you are.
I don't care how popular you are.
I don't care how famous you are.
I don't care how talented you are.
I don't care what you accomplished this year. 

How you treat others who can do nothing for you tells all.",https://www.linkedin.com/posts/leilahormozi_i-dont-care-how-rich-you-are-i-dont-care-activity-7411458519973064704-u3jB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
10,Leila Hormozi,1.8,2239,384,2674,Magician,Motherhood / Family,Data-Driven Revelation,Hook -> Insight -> Close,99% of your success this year depends on this one thing:,"99% of your success this year depends on this one thing:    David McClelland, a professor at Harvard conducted this study. He found out the staggering","99% of your success this year depends on this one thing:



David McClelland, a professor at Harvard conducted this study. He found out the staggering truth about successful people.

99% of your life's success is dictated by what he calls the ""Reference Group"". A Reference Group is the top 5 people you spend the most time with. BUT that's not the most important part.

Out of the 5 people, the 1 person that you spend the most time with has more impact on your success compared to the other 4 combined. That is generally your spouse, partner, boyfriend, girlfriend, life partner, etc. Basically the person you are romantically engaged with.

I can attest to this. Once I chose the right person. My life exploded (in the best way possible). Since then, we've built 4 businesses together, amassed hundreds of millions in wealth, and run a portfolio company together worth $500M.

Please pay attention to who you spend the most time with.",https://www.linkedin.com/posts/leilahormozi_99-of-your-success-this-year-depends-on-activity-7416161977426825216-JZib?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_ifSIBLNKN-CYmgkfIGEtul2vGCEXomr8
