rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
1,Melanie Perkins,5.0,6083,357,6548,Teacher,Entrepreneurship,Thought Leadership,Hook -> Story -> Reflection -> Question,"As we enter 2025, I’ve been reflecting on my goals for the year and the lessons I’ve learned about sustaining energy and focus. I used to work seven days a week, barely pausing to breathe, thinking it was the only way to succeed—but I’ve since realized how unsustainable that was.","As we enter 2025, I’ve been reflecting on my goals for the year and the lessons I’ve learned about sustaining energy and focus. I used to work seven d","As we enter 2025, I’ve been reflecting on my goals for the year and the lessons I’ve learned about sustaining energy and focus. I used to work seven days a week, barely pausing to breathe, thinking it was the only way to succeed—but I’ve since realized how unsustainable that was. 

Social media is quick to glamorise working all hours and pushing through without taking breaks. In recent conversations with founders, I noticed a common theme: they’re so focused on achieving their big goals that they’re leaving nothing in the tank for themselves. One founder told me they worked through every weekend last year, taking just a handful of days off. Another shared how they felt completely stuck after a setback, without tools to navigate the emotional toll.

I could relate. For years, I had no tools either. I’ve spent the last few years working on that, and now, I feel like I have the tools to help me recharge, reset, and plan effectively. I thought I’d share a few of the things that helped in case they’re helpful for you too.

#1: Taking Real Breaks
For years, I didn’t take weekends off. Now, I intentionally carve out time to recharge. Giving myself space to pause has been transformative—it helps me reset and approach the week ahead with clarity and energy. Contrary to what I originally thought, taking breaks helps me to ‘work smarter, not harder’.

#2: Setting Walking Goals
A few years ago, I challenged myself to walk 100 km every month. It was a game-changer. Those walks became my thinking time, a chance to brainstorm, reflect, get some exercise and time in nature. This year, I’m excited to bring that habit back—it’s something I’ve missed and can’t wait to reintroduce into my routine.

#3: Meditating Every Day
Meditation didn’t come easily to me. I’d sit there thinking about work instead of relaxing! But over time, I’ve found it incredibly helpful. I use the Calm app for 10 minutes before bed, which clears my mind and improves my sleep. It’s also helped transform my inner self-talk, making me kinder to myself.

#4: Experimenting with AI Walks
This year, I’ve started combining my walks with AI tools. I use AirPods to record my thoughts and then let AI organize those ideas into actionable steps (yes, in Canva!). It’s been surprisingly effective at turning big-picture brainstorming into tangible progress. I’m excited to see where it goes this year and to continue to refine it.

#5: Building Simple, Intentional Habits
Small ‘rituals’ like journaling for five minutes each morning, spending time in nature or keeping a consistent bed time and wake time (one of my 2025 goals!) can make a huge difference. 

I certainly don’t have it all figured out—I’m still learning, and these habits are evolving. But I’ve noticed how much better I feel when I make time for myself, and I wanted to share in case these ideas resonate with you too.

What habits or tools have made a difference in your life? I’d love to hear what’s worked for you too! 🌟",https://www.linkedin.com/posts/melanieperkins_as-we-enter-2025-ive-been-reflecting-on-activity-7281870969856532482-3ir5?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
2,Melanie Perkins,4.3,5293,297,5662,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Close,"Building Canva has taken the hard work, passion, creativity, and dedication of an incredibly talented group of people. We now have a team of more than 1,500 people around the world helping turn our crazy big goals into reality while striving to bring magic to our community every single day.","Building Canva has taken the hard work, passion, creativity, and dedication of an incredibly talented group of people. We now have a team of more than","Building Canva has taken the hard work, passion, creativity, and dedication of an incredibly talented group of people. We now have a team of more than 1,500 people around the world helping turn our crazy big goals into reality while striving to bring magic to our community every single day.

It’s been incredible to see crazy big goals that we have set being turned into reality to be used by millions of people - but there’s one in particular that really stands out, dating back to the very beginning of Canva when we had the good fortune of meeting David Hearnden and somehow convinced him to join the team as our CTO.

Since that day, Dave has been dreaming about launching simultaneous collaboration in Canva (multiple people designing together in real-time). It was a goal so ambitious that he vowed to forego cutting his hair until we made it possible.

Launching simultaneous collaboration in Canva was an absolutely massive feat – it involved many years of engineering effort and doing many ‘world firsts’. So when we officially unlocked this milestone, Dave had a ceremonious haircut and we created a little film of the occasion to celebrate internally but thought we'd share it here for a bit of fun!",https://www.linkedin.com/posts/melanieperkins_building-canva-has-taken-the-hard-work-passion-activity-6787910082509324288-Ooyz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w
3,Melanie Perkins,2.8,3250,258,3623,Teacher,Motherhood / Family,Thought Leadership,Hook -> Story -> Reflection -> Question,"I feel like I just got a new job. A pretty important one, I think.","I feel like I just got a new job. A pretty important one, I think.  I’ve joined the PR team for “Imagination.”  You might be wondering, why does imagi","I feel like I just got a new job. A pretty important one, I think.

I’ve joined the PR team for “Imagination.”

You might be wondering, why does imagination need a PR team? It's not a company? Well, lately, imagination has had a bit of a PR problem.

“It’s just in her imagination.”
“It’s not realistic.”

Sound familiar? That’s exactly the issue. When imagination gets dismissed as naïve or unrealistic, we stop taking it seriously, even though it’s the single most powerful force shaping our shared future. One to be taught, honed, valued and refined.

If we don’t imagine the world we want, how can we possibly create it?

A couple of months ago, while preparing for our keynote, we started listing moments when imagination reshaped reality, times when what once seemed absurd became our new reality.

When the world was bound to the ground, the idea of flying was madness.
When nights were lit by candles and oil lamps, the thought of brightening a room with the flick of a switch was pure fantasy.
When sickness was seen as destiny or divine will, the idea of curing it through science was unimaginable.
When half of humanity was voiceless, the idea of women voting was radical.

And yet, someone imagined each of those things first. And then many people worked hard to turn those completely “unrealistic” ideas into the reality we now enjoy today. Everything good was once imagined.

It made me wonder: what are the things you’re most grateful for today that were once just imagined? And what’s the next “impossible” thing you hope we’ll imagine into reality?",https://www.linkedin.com/posts/melanieperkins_i-feel-like-i-just-got-a-new-job-a-pretty-activity-7394315980769980416-SnNR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
4,Melanie Perkins,2.5,3083,177,3312,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Close,"Since the very beginning, our mission has been to empower everyone to design - and we really mean everyone! At Canva, we believe everyone should have access to all the ingredients needed to design, and not just for the few who can afford it. This is why we created an easy-to-use design tool, with all the ingredients you need such as free design templates, fonts, illustrations, and photos.","Since the very beginning, our mission has been to empower everyone to design - and we really mean everyone! At Canva, we believe everyone should have ","Since the very beginning, our mission has been to empower everyone to design - and we really mean everyone! At Canva, we believe everyone should have access to all the ingredients needed to design, and not just for the few who can afford it. This is why we created an easy-to-use design tool, with all the ingredients you need such as free design templates, fonts, illustrations, and photos. 

Today marks a significant milestone at Canva. I’m incredibly excited to announce that free stock photography sites Pexels and Pixabay have joined the Canva family, so that their library of free, diverse and authentic photos will now be available on Canva. Together, we’re connecting our communities, bringing talented photo contributors from all over the world closer to our Canva community of over 15 million designers worldwide, who are on the lookout for fresh, beautiful photography every day.

We've also announced the roll-out of Photos Unlimited, a world-first stock photography subscription model offering “all you can consume” access to a library of an additional tens of millions of premium stock photos. With these two announcements, we’re giving people more choice, more freedom and the power to visually communicate their ideas in the best possible way. The potential is limitless.",https://www.linkedin.com/posts/melanieperkins_since-the-very-beginning-our-mission-has-activity-6535286925824229376-BrsS?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADOaIt0BRjLO-MIVji43gtwC0Bl2KRs6fXo
5,Melanie Perkins,2.4,2875,131,3102,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> List -> Insight,"A few years ago, we shared our 2 Step Plan:","A few years ago, we shared our 2 Step Plan:  1. Build one of the world’s most valuable companies 2. Do the most good we can do  We have a crazy big dr","A few years ago, we shared our 2 Step Plan:

1. Build one of the world’s most valuable companies
2. Do the most good we can do

We have a crazy big dream: that by the end of our lifetimes, everyone on this planet will have their basic human needs met. It’s terribly sad that this is still considered a crazy big dream, but thanks to the support of our community, the Canva Foundation is committing another $100 million USD to support people living in extreme poverty to take another step towards this.

Since 2021, our partnership with GiveDirectly has provided $50 million in direct cash transfers to more than 85,000 people in Malawi. Families have used this support to send children to school, access healthcare, start small businesses, and invest in livestock and tools that help create long-term security. Each story is different, but all prove a simple truth: when people are trusted to decide what they need most, the impact is extraordinary.

This new $100 million commitment will reach another 185,000 people, helping families transform their lives, while creating ripple effects that strengthen entire communities. It is, without a doubt, the best money we could ever imagine spending.

We’ve created a short documentary from journalist David Begnaud's visit to Malawi: https://lnkd.in/gpDpkW8h

We’re still very much on a learning journey, if you’d like to learn alongside us, visit our blog: https://lnkd.in/gn4TTJrg

With over 30% of Canva’s value dedicated to doing good, every subscription and every design fuels this mission. Thank you for being part of it ❤️",https://www.linkedin.com/posts/melanieperkins_on-the-ground-in-malawi-stories-of-change-activity-7381828153788268545-rppA?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
6,Melanie Perkins,2.3,2924,104,3063,Magician,Leadership,Pattern Interrupt,Hook -> Insight -> Close,"Like millions of people around the world, I’m saddened and appalled by the devastating news continuing to emerge from Ukraine where millions of innocent people have had their lives turned upside down. Everyone, everywhere, should have the right to peace, safety, and freedom.","Like millions of people around the world, I’m saddened and appalled by the devastating news continuing to emerge from Ukraine where millions of innoce","Like millions of people around the world, I’m saddened and appalled by the devastating news continuing to emerge from Ukraine where millions of innocent people have had their lives turned upside down. Everyone, everywhere, should have the right to peace, safety, and freedom. 

We believe that we have an incredibly important responsibility to use our voice and our resources to advocate for peace and to bring awareness to the unimaginable, unlawful and unjust situation.

To assist with immediate relief, the Canva Foundation is committing $1,000,000 to those impacted by this crisis. We’re also matching donations from our team, dollar-for-dollar, for up to $5,000 per team member.

We’ve also launched a number of new templates and illustrations which we hope will become a way for people across the globe to amplify the important call for peace while bringing additional awareness to the tragic situation continuing to unfold.

We stand firmly in support of Ukraine, and in support of peace and freedom everywhere.",https://www.linkedin.com/posts/melanieperkins_supporting-ukraine-and-promoting-peace-activity-6905440477835866112-Cezn?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w
7,Melanie Perkins,2.3,2820,160,3055,Magician,AI / Tech,Pattern Interrupt,Hook -> Insight -> Question,"Ten years ago, we launched Canva with the belief that design shouldn’t be limited to people with advanced training or expensive software. Since then, we’re incredibly proud to have brought the power of visual communication to more than 150 million people around the world.","Ten years ago, we launched Canva with the belief that design shouldn’t be limited to people with advanced training or expensive software. Since then, ","Ten years ago, we launched Canva with the belief that design shouldn’t be limited to people with advanced training or expensive software. Since then, we’re incredibly proud to have brought the power of visual communication to more than 150 million people around the world.

A decade into our journey, we’re excited to mark the start of our next chapter with one of our biggest launches ever. Introducing Magic Studio – the best of AI, all in one place and made for skipping the busywork!

It’s been pretty extraordinary watching our team rally together to bring Magic Studio to life – I feel incredibly lucky to work with such a passionate and creative crew. 

We'd love to know if you have any favorite features?!",https://www.linkedin.com/posts/melanieperkins_introducing-magic-studio-the-power-of-ai-activity-7115630937450717185-IMOl?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w
8,Melanie Perkins,2.1,2684,69,2810,Teacher,Philanthropy / Cause,Thought Leadership,Hook -> Insight -> Close,"A couple of years ago we added an Anti-Discrimination Clause into our Terms of Use. Our aim is to outline clear expectations for our Canva community to abide by when using our platform, and we reserve the legal right to stop them from using our services if they don’t comply. It’s a small step for us, but putting our values in our Terms seems like a good start towards creating a brighter future. We'd love to see other companies do the same - so decisions don’t feel piecemeal, but in line with shaping a world we can all be proud to live in. Feel free to reuse these Terms as your own.",A couple of years ago we added an Anti-Discrimination Clause into our Terms of Use. Our aim is to outline clear expectations for our Canva community t,"A couple of years ago we added an Anti-Discrimination Clause into our Terms of Use. Our aim is to outline clear expectations for our Canva community to abide by when using our platform, and we reserve the legal right to stop them from using our services if they don’t comply. It’s a small step for us, but putting our values in our Terms seems like a good start towards creating a brighter future. We'd love to see other companies do the same - so decisions don’t feel piecemeal, but in line with shaping a world we can all be proud to live in. Feel free to reuse these Terms as your own.
#blacklivesmatter",https://www.linkedin.com/posts/melanieperkins_blacklivesmatter-activity-6673558279416893440-ooho?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w
9,Melanie Perkins,2.1,2612,130,2800,Teacher,Leadership,Personal Lesson,Hook -> Punch Line,"A few years ago I wrote a blog post about some of the lessons we’ve learned throughout our journey building Canva – that was back in 2018, and quite a bit has happened since then!","A few years ago I wrote a blog post about some of the lessons we’ve learned throughout our journey building Canva – that was back in 2018, and quite a","A few years ago I wrote a blog post about some of the lessons we’ve learned throughout our journey building Canva – that was back in 2018, and quite a bit has happened since then!

I’ve just started writing Part 2 and would love to include some new questions. If there’s anything you’d like to learn more about based on Canva’s journey so far, let me know below and I’ll try to include your questions in Part 2!",https://www.linkedin.com/posts/melanieperkins_21-questions-from-aussie-startups-highs-activity-6855744152303480833-gAm-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFxp7sYBfVjWhnJhDnuArU5YimZaRl1k-2w
10,Melanie Perkins,2.1,2450,226,2796,Fortune Teller,Philanthropy / Cause,Milestone Announcement,Hook -> List -> Insight,We are extraordinarily excited to unveil the Visual Suite 2.0. It's the biggest product launch in Canva's history and brings creativity and productivity together like never before 🚀 ✨,We are extraordinarily excited to unveil the Visual Suite 2.0. It's the biggest product launch in Canva's history and brings creativity and productivi,"We are extraordinarily excited to unveil the Visual Suite 2.0. It's the biggest product launch in Canva's history and brings creativity and productivity together like never before 🚀 ✨

You asked, with more than one million wishes pouring in every year, and we listened. Every request, idea, and piece of feedback from our global community has helped shape what we’re launching today. Visual Suite 2.0 is packed with your most-wanted features: combine every format in a single design, turn numbers into powerful visual spreadsheets, create faster than ever with Canva AI, and now, bring your ideas to life with code.

A massive thank you to our community for being on this journey with us and for sharing the millions of wishes that continue to shape the future of design. Visual Suite 2.0 is a celebration of everything we’ve built together, and we can’t wait to see what you’ll create.

So… which wish do you want to try first? If you didn't check out the keynote yet, you might want to (we're releasing to the first 1 million people today!) or explore all the latest launches right here:",https://www.linkedin.com/posts/melanieperkins_introducing-visual-suite-20-productivity-activity-7316178122373009408-RB3H?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFExDSABRCfDps2vz8BwL3pcxWzy6fiDV8g
