authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Leila Hormozi,leilahormozi,2025-12-26T17:00:03.075Z,4225,390,52,document,"Just 8 years ago:
⃗⃗→ We ate at 7-Eleven.
⃗⃗→ Slept in extended stays.
⃗⃗→ Had $1,000 saved after 19 months of work.

Recently:
⃗⃗→ Our companies crossed $250,000,000 in revenue.
⃗⃗→ We bought our second building in Las Vegas.
⃗⃗→ We grew holding company team at acquisition (dot) com to 100 employees.

Success is accessible to anyone willing to do the work required. Big visions never make sense to small-minded people. If you want to have a greater impact. You’ll have to make greater sacrifices.

My message to you: Don’t let anybody kill your dreams ❤️",https://www.linkedin.com/posts/leilahormozi_8-years-ago-activity-7410363780091707392-nQdD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
Leila Hormozi,leilahormozi,2026-02-08T16:30:01.277Z,3077,372,128,image,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7426301288889548800-PMJd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE9RxIABTzVWAJdUWiMfVOc97D6SdiB2L20
Leila Hormozi,leilahormozi,2026-01-15T17:00:06.667Z,2766,339,100,image,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7417611552469692416-gY6h?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACduEjUB9RjUluiHlrWu9gJkcoqkDVIC-IE
Leila Hormozi,leilahormozi,2026-02-05T16:30:01.168Z,2439,587,69,image,"Discipline is boring.
Hard work is boring.
Studying is boring.
Doing the same thing everyday is boring.
Boredom is the birthplace of success.
So... be a boring person for the time being.",https://www.linkedin.com/posts/leilahormozi_discipline-is-boring-hard-work-is-boring-activity-7425214124835377152-kaE7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE9RxIABTzVWAJdUWiMfVOc97D6SdiB2L20
Leila Hormozi,leilahormozi,2026-02-14T16:45:01.722Z,2605,312,165,image,"Discipline is boring.
Hard work is boring.
Studying is boring.
Doing the same thing everyday is boring.
Boredom is the birthplace of success.
So-be a boring person for the time being.",https://www.linkedin.com/posts/leilahormozi_discipline-is-boring-hard-work-is-boring-activity-7428479392823128065-O0BO?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAER_BBABGhA9dGZybaazDxY9GE7jgGPFMtc
Leila Hormozi,leilahormozi,2025-12-15T17:00:01.318Z,2497,228,166,image,,https://www.linkedin.com/posts/leilahormozi_activity-7406377506200551426-Mlm7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACTIj54B0UvtOEbCnas4KB9jkB0pASBFpUw
Leila Hormozi,leilahormozi,2026-01-10T17:15:01.122Z,2401,305,49,image,"People with self-discipline don’t have more willpower.

It's the opposite. 

They figure out how to alter their environment to make it as easy as possible to hit their goals.

It’s not about ‘gritting’ your way to success.

It’s about engineering an environment that makes it easier to succeed than fail.

I hope this helps ONE person to achieve their goals for 2026. 

- Leila 💅",https://www.linkedin.com/posts/leilahormozi_people-with-self-discipline-dont-have-more-activity-7415803364757671936-x0yQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_ifSIBLNKN-CYmgkfIGEtul2vGCEXomr8
Leila Hormozi,leilahormozi,2025-12-30T17:30:09.448Z,2334,329,107,image,agree?,https://www.linkedin.com/posts/leilahormozi_agree-activity-7411820908031643648-k9U7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
Leila Hormozi,leilahormozi,2025-12-29T17:30:09.402Z,2272,374,63,image,"I don't care how rich you are. 
I don't care what your title is. 
I don't care how educated you are.
I don't care how popular you are.
I don't care how famous you are.
I don't care how talented you are.
I don't care what you accomplished this year. 

How you treat others who can do nothing for you tells all.",https://www.linkedin.com/posts/leilahormozi_i-dont-care-how-rich-you-are-i-dont-care-activity-7411458519973064704-u3jB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADoDRnIB0ZG9fIounZFbjwijD_YZilgq11A
Leila Hormozi,leilahormozi,2026-01-11T17:00:01.045Z,2239,384,51,image,"99% of your success this year depends on this one thing:



David McClelland, a professor at Harvard conducted this study. He found out the staggering truth about successful people.

99% of your life's success is dictated by what he calls the ""Reference Group"". A Reference Group is the top 5 people you spend the most time with. BUT that's not the most important part.

Out of the 5 people, the 1 person that you spend the most time with has more impact on your success compared to the other 4 combined. That is generally your spouse, partner, boyfriend, girlfriend, life partner, etc. Basically the person you are romantically engaged with.

I can attest to this. Once I chose the right person. My life exploded (in the best way possible). Since then, we've built 4 businesses together, amassed hundreds of millions in wealth, and run a portfolio company together worth $500M.

Please pay attention to who you spend the most time with.",https://www.linkedin.com/posts/leilahormozi_99-of-your-success-this-year-depends-on-activity-7416161977426825216-JZib?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAC_ifSIBLNKN-CYmgkfIGEtul2vGCEXomr8
