full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook,url,date,_source,rank,followers,author_avg,source
"I'm thrilled to share that I've been promoted to Staff Software Engineer at Pinterest!

Working at Pinterest has been such a rewarding experience. I've grown so much since joining, and I'm grateful for my team (Web Platform) and org (Client Foundations) for creating an environment that makes it easy for that to happen.

I've had the chance to lead initiatives like optimizing how fast pins load, revamping navigation, and now driving developer experience across 8 teams. Throughout all of this, my team has been an amazing support system, with incredibly talented people to learn from. 

I also want to give a special shout-out to my manager Vasanth Krishnamoorthy, tech lead and mentor Yen-Wei L. , and Director Mark Cerqueira. You've made this year really special and I appreciate you 🙏

I'm looking forward to taking on even bigger challenges and starting yet another growth journey (it never stops 🚀).",2025.0,214.0,0,2239.0,8.44,Teacher,Engineering Career,Framework/How-To,Observation/Opinion,Text-only,I'm thrilled to share that I've been promoted to Staff Software Engineer at Pinterest!,"I'm thrilled to share that I've been promoted to Staff Software Engineer at Pinterest!

Working at Pinterest has been such a rewarding experience. I'v","I'm thrilled to share that I've been promoted to Staff Software Engineer at Pinterest!

Working at Pinterest has been such a rewarding experience. I'v",https://www.linkedin.com/posts/jordancutler1_im-thrilled-to-share-that-ive-been-promoted-activity-7368301250997661697-_Bmp?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD9zz4ABDFXGXOeA2HCeIOmpH5xgVN4Pd2E,2025-09-01T15:18:34.655Z,central_outliers_db,12.0,0.0,239.9,alexis_engineering_tech
"Your manager asks you to delegate more work to other engineers so you can scale yourself. What do you do?

Here's the simplest way to remember: think about each piece of work you delegate like a one-pager.

One-pagers include:
• Problem
• Goal
• Solution
• Alternatives
• Risks

Start at the top. Always tell them the problem (or the ""why""). Then, continue down the list as far as you'd like, but stop when you're confident the other person can handle the rest.

You can use engineering levels/titles as a rule of thumb, but it doesn't always need to map to that. For example,
• Staff engineer -> stop at ""Problem""
• Senior engineer -> stop at ""Goal""
• Mid-level engineer -> stop at ""Solution""
• Entry/Junior engineer -> cover most or all

When you want to challenge them, stop earlier. Let them take on more and give them that growth opportunity.

This framework covers what level of detail to provide, but of course, there's more to delegation than that. To get all the details, join 95k+ engineers and check my latest article: https://lnkd.in/ea-JjkKA",1071.0,39.0,37,1147.0,4.46,Teacher,Engineering Leadership,Framework/How-To,List Post,Text-only,Your manager asks you to delegate more work to other engineers so you can scale yourself. What do yo,"Your manager asks you to delegate more work to other engineers so you can scale yourself. What do you do?

Here's the simplest way to remember: think ","Your manager asks you to delegate more work to other engineers so you can scale yourself. What do you do?

Here's the simplest way to remember: think ",https://www.linkedin.com/posts/jordancutler1_your-manager-asks-you-to-delegate-more-work-activity-7390795556945551360-BkJs?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFvytF8BltAXQnPxVJzCCgX_DFSIoOU-g00,2025-11-02T17:02:55.117Z,central_outliers_db,23.0,0.0,239.9,alexis_engineering_tech
"The 5 levels of communicating your impact as an engineer in tech:

Level 1: What you did
Migrated the user authentication system to OAuth 2.0

Level 2: Had impact
...which reduced login failures

Level 3: Specific impact
...by 40% (from 15% to 9%)

Level 4: Tied to a goal
...exceeded our Q2 reliability target by 2x

Level 5: and dollars or top-level business metrics
...and prevented $2.1M in annual revenue loss and saved 15 hours/week in support

If you can include all of these in your self-reviews or resume, it's the strongest impact you can communicate. Still, reaching Level 5 is hard. You might not have all the data to get there, so Level 3-4 is ok too. The key is being as specific as possible with the data you have.

If you found this helpful, you might also like the free custom GPT I created that provides instant tips to improve any impact statement using this framework.

I share the link to it and many more details on communicating impact in the latest High Growth Engineer article. Check it out here! https://lnkd.in/eb27gRDr",774.0,30.0,52,856.0,3.23,Teacher,AI/ML/Coding Tools,Framework/How-To,Observation/Opinion,Text-only,The 5 levels of communicating your impact as an engineer in tech:,"The 5 levels of communicating your impact as an engineer in tech:

Level 1: What you did
Migrated the user authentication system to OAuth 2.0

Level 2","The 5 levels of communicating your impact as an engineer in tech:

Level 1: What you did
Migrated the user authentication system to OAuth 2.0

Level 2",https://www.linkedin.com/posts/jordancutler1_the-5-levels-of-communicating-your-impact-activity-7347661034813353986-p7XN?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD9zz4ABDFXGXOeA2HCeIOmpH5xgVN4Pd2E,2025-07-06T16:21:43.640Z,central_outliers_db,32.0,0.0,239.9,alexis_engineering_tech
"If you're a developer looking to level up, here are some of the newsletters I read that I think you'll get a ton of value from:

Elevate by Addy Osmani: https://lnkd.in/errpqZCU (Senior Staff Eng & Head of Chrome Dev at Google now on Substack)

System Design Newsletter by Neo Kim: https://lnkd.in/epCMRzyX (Learn system design in 5 minutes or less from real company stories.)

Scarlet Ink by David Anderson: https://lnkd.in/etbTHEjy (Former Amazon Exec gives fantastic personal stories and examples on growth in tech)

Eczachly Data Engineering Newsletter by Zach Wilson: https://lnkd.in/ejC7bgVK (Interview better, learn how to get promoted quickly, and become better at data engineering)

Coding Challenges by John Crickett: https://lnkd.in/et9b6VDQ (Level up through real-world coding challenges)

Hybrid Hacker by Nicola Ballotta: https://lnkd.in/exvzJUhj (Collection of advice on management & productivity, with really great visuals on how to think)

Engineering Leadership by Gregor Ojstersek: https://lnkd.in/eaYUVCSc (Learn how to become a better engineering leader)

The Caring Techie by Irina Stanescu: https://lnkd.in/e5qybckA (Build soft skills from an experienced IC, manager, and tech lead. She's done it all)

The Developing Dev by Ryan Peterman: https://lnkd.in/e4JxSQg5 (Learn to become a better developer in 5 minutes or less each week -- from a Staff Software Engineer at Instagram)

Techlead Mentor by Raviraj Achar: https://lnkd.in/dB7AgsZa (Become an effective Tech Lead from a Staff Engineer at Meta)

There are too many good ones to list, so this definitely doesn't cover all.

Feel free to share in the comments the ones I missed or post your own!",560.0,30.0,82,672.0,2.33,Teacher,System Design,Framework/How-To,Observation/Opinion,Text-only,"If you're a developer looking to level up, here are some of the newsletters I read that I think you'","If you're a developer looking to level up, here are some of the newsletters I read that I think you'll get a ton of value from:

Elevate by Addy Osman","If you're a developer looking to level up, here are some of the newsletters I read that I think you'll get a ton of value from:

Elevate by Addy Osman",https://www.linkedin.com/posts/jordancutler1_if-youre-a-developer-looking-to-level-up-activity-7153797776173068289-__V7?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFuSvOYB_jBbPAPzpya-N-HC_DUVe3hldzQ,2024-01-18T17:23:14.390Z,idea_legos_alexis,61.0,0.0,239.9,
"After landing a $350k offer in big tech, my friend quoted this interview tip as what helped him the most in landing the job.

Don't answer the question. Answer the question BEHIND the question.

Here's an example:

• Interviewer asks... ""Tell me about your biggest failure""
• You respond by telling them about a big project that didn't ship on time and everyone moved on. That feels like a failure, right?

The problem is, the question behind the question was, ""How well do you learn from your big failures?"" So you can still tell the story about your biggest failure, but you need to touch on what you learned from it! Every answer you give uncovers more to the interviewer about how you are to work with (the pie below).

Here are some more examples:
• Biggest disagreement -> Can you work with others? (not a chance to brag about swapping teams due to arguments)
• A project you are proud of -> How large is your scope and do you approach projects methodically?
• A time when you missed a deadline -> Do you let others know ahead of time when your estimate is off? How do you approach your relationship with stakeholders?

Each question has something underlying the interviewer is trying to get at.

Figure out what it is. Answer THAT question and you'll see the offers start coming in.

--
The thing is, this framework isn't just useful for interviews. You can use it when you're fielding questions during a presentation, or when you're dealing with hard questions from your manager on why something hasn't shipped.

To see how AND learn 4 other top communication frameworks like this one, click the link next to my profile picture.

Tomorrow's High Growth Engineer issue will feature some of Wes Kao's most valuable frameworks engineers can use every day.",552.0,44.0,30,626.0,2.3,Contrarian,Engineering Career,Data/Numbers,List Post,Text-only,"After landing a $350k offer in big tech, my friend quoted this interview tip as what helped him the ","After landing a $350k offer in big tech, my friend quoted this interview tip as what helped him the most in landing the job.

Don't answer the questio","After landing a $350k offer in big tech, my friend quoted this interview tip as what helped him the most in landing the job.

Don't answer the questio",https://www.linkedin.com/posts/jordancutler1_after-landing-a-350k-offer-in-big-tech-activity-7261052448742551552-B69O?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQkiF0BbAdCN7z4ZmBLHcHn1RIeKFngJs0,2024-11-09T16:30:07.611Z,idea_legos_alexis,62.0,0.0,239.9,
"6 Must Have Software Engineering Templates to grow as an engineer:

This week I covered 6 of the templates I use the most as Senior Engineer in Big Tech. Here they are, with links to each one!

1. Technical Design Doc Template: https://lnkd.in/enamp3FW

Use this when your team already agreed you'll work on something, and now you need to sort out ""how"" you're going to build it and what milestones.

2. Feedback Template: https://lnkd.in/ehsuJUkk

Use this to give feedback in a non-judgmental, constructive way to help the other person improve.

3. 1-Pager Proposal Template: https://lnkd.in/eCXRcg-W

Use this when you need to focus more on the ""why"" than the ""how."" It lets you propose an idea to actually get it prioritized.

4. Pull Request Template: https://lnkd.in/et6DTYfv

Use this to clearly describe your changes and get faster reviews by making your reviewers' lives easier.

5. 1-on-1 Template: https://lnkd.in/eg6NcHbe

Use this for more productive for 1:1s and to avoid getting sidetracked.

6. Brag Doc + Weekly Update Template: https://lnkd.in/eFbMgbb7

Use this to track your accomplishments and update your manager on your plan + what you did for the week.

What templates did I miss? I'm happy to cover and add them to our template library!

To see the full post covering each of these templates in detail, join 85k engineers and check it out here: https://lnkd.in/e8tM6RGt",509.0,22.0,54,585.0,2.12,Teacher,Engineering Leadership,Framework/How-To,List Post,Text-only,6 Must Have Software Engineering Templates to grow as an engineer:,"6 Must Have Software Engineering Templates to grow as an engineer:

This week I covered 6 of the templates I use the most as Senior Engineer in Big Te","6 Must Have Software Engineering Templates to grow as an engineer:

This week I covered 6 of the templates I use the most as Senior Engineer in Big Te",https://www.linkedin.com/posts/jordancutler1_6-must-have-software-engineering-templates-activity-7291857410103607296-tXUt?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7Ns74BpCd1C_AC6bPw9Wj2Vw5j6POGz9A,2025-02-02T16:38:02.728Z,idea_legos_alexis,71.0,0.0,239.9,
"Happy holidays 🎁 I just removed the paywall for the top 7 High Growth Engineer posts from 2024:

Here they are, ordered by popularity:

1. Why reading whitepapers takes your career to the next level (and how to do it): https://lnkd.in/eMQiXHrK

2. 5 Lessons I learned the hard way from 6 years as a software engineer: https://lnkd.in/eeAnZ_-5

3. Communicate like a Senior: Use clear deltas. https://lnkd.in/esEBniiZ

4. The one framework every engineer should know: https://lnkd.in/e-MBdkjg

5. Three career principles that got me to Director at Google: https://lnkd.in/erEyUHXC

6. The three big mistakes that almost cost me my promotion (and how you can avoid them): https://lnkd.in/ee2g9Ude

7. My Tech Promotion Algorithm: https://lnkd.in/eYHpbgeD

Big shout-out to all the amazing guests who put a ton of work into these and made these posts possible 🙏

They will be accessible for the next week, so you can read 1 each day leading up to the new year! Enjoy and share with a friend 😊

Which one resonated with you the most?",480.0,33.0,38,551.0,2.0,Teacher,Engineering Career,Personal Experience,List Post,Text-only,Happy holidays 🎁 I just removed the paywall for the top 7 High Growth Engineer posts from 2024:,"Happy holidays 🎁 I just removed the paywall for the top 7 High Growth Engineer posts from 2024:

Here they are, ordered by popularity:

1. Why reading","Happy holidays 🎁 I just removed the paywall for the top 7 High Growth Engineer posts from 2024:

Here they are, ordered by popularity:

1. Why reading",https://www.linkedin.com/posts/jordancutler1_happy-holidays-i-just-removed-the-paywall-activity-7278084650848141312-xoBF?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEZl0i8BIQO5SjruQUewaxvjhpJAGnSrvEQ,2024-12-26T16:30:01.036Z,idea_legos_alexis,83.0,0.0,239.9,
"3 unspoken git tricks that save you TONS of time (no one else shares these):

1. git checkout -

What does it do? It switches you to your previous branch. Instead of typing it all out, you can just say ""-"".

""git checkout jcutler-my-favorite-branch"" becomes ""git checkout -"". I even have an alias set up for git checkout so it becomes ""gco -""

AND you can extend this with ""git merge -"" to merge the last branch you were on, or ""cd -"" to switch to your previous directory.

2. git bisect

It's the most underrated debugging tool. When something that WAS working starts breaking, run ""git bisect start."" It will use binary search to figure out the exact commit that broke it in lg(n) tries. 

Because it uses binary search, it can find the bad commit across 1000+ commits in just 10 tries.

3. git checkout HEAD@{1.week.ago}

Or more generally, git checkout branchname@{timeframe}. You can use this to supercharge your git bisect skills. When you use ""git bisect"", you need to start by finding a ""good"" and ""bad"" commit. 

You can easily find the good commit by trying different times of the codebase with this trick.

Any other git tricks like this that don't get enough love?",432.0,44.0,16,492.0,1.8,Teacher,Productivity,Framework/How-To,List Post,Text-only,3 unspoken git tricks that save you TONS of time (no one else shares these):,"3 unspoken git tricks that save you TONS of time (no one else shares these):

1. git checkout -

What does it do? It switches you to your previous bra","3 unspoken git tricks that save you TONS of time (no one else shares these):

1. git checkout -

What does it do? It switches you to your previous bra",https://www.linkedin.com/posts/jordancutler1_3-unspoken-git-tricks-that-save-you-tons-activity-7276635400872361984-i4hB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEZl0i8BIQO5SjruQUewaxvjhpJAGnSrvEQ,2024-12-22T16:31:12.916Z,idea_legos_alexis,99.0,0.0,239.9,
"If you're a software engineer looking to grow, here are 13 resources to get your weekly dose of wisdom:

1) Data Engineering Newsletter by Zach Wilson: https://lnkd.in/ejC7bgVK. Personal stories from his experience at Meta, Netflix, and Airbnb all the way to data deep-dives. Zach does it all.

2) Coding Challenges by John Crickett: https://lnkd.in/et9b6VDQ. Level up by building fully functional applications

3) Leading Developers by Anton Zaides: https://lnkd.in/dNbn8y9W. Reflections, stories, and lessons on being a better engineering leader from a Director of Engineering

4) Engineering Leadership by Gregor Ojstersek: https://lnkd.in/eaYUVCSc. Learn how to become a better engineering leader

5) Wes Kao's Newsletter by Wes Kao: https://lnkd.in/ej48BXXZ. Actionable, insightful frameworks and advice on many soft skill topics--managing up, giving feedback, etc.

6) Developing Dev by Ryan Peterman: https://lnkd.in/e4JxSQg5. Learn how to level up from a Staff Software Engineer at Instagram

7) The Software Engineer Weekly by Kevin Naughton: https://lnkd.in/eqEVNG5W. Tips from a Google SWE on career growth, productivity, mental and physical health

8) Leadership Letters by Akash Mukherjee: https://lnkd.in/eeEzxjzK. Akash is a Staff Engineer at Apple. He gets into his wealth of personal stories and always shared actionable takeaways

9) The Caring Techie by Irina Stanescu: https://lnkd.in/e5qybckA. Build soft skills from an experienced IC, manager, and tech lead. She's done it all

10) The Operator's Handbook by Torsten Walbaum: https://lnkd.in/etNH6juK. Some of the most in-depth how-to guides on being a better operator.

11) The Hustling Engineer by Hemant Pandey: https://lnkd.in/e3kzc8B6. Concise, actionable takeaways on every article for leveling up as an engineer from a Senior Engineer at Meta

12) Strategize your Career by Francisco Manuel Soto Ramírez: https://lnkd.in/eCnJv76m. His advice is actionable, concise, and clear. He shares everything he uses himself too

13) The T-Shaped Dev - by Petar Ivanov: https://lnkd.in/eEaS_eMy. Petar shares approachable intros to technical topics and helps you be more productive

Tell me which one is your favorite in the comments! Also, feel free to share any I missed since there are so many good ones.",369.0,52.0,41,462.0,1.54,Teacher,Engineering Leadership,Framework/How-To,Observation/Opinion,Text-only,"If you're a software engineer looking to grow, here are 13 resources to get your weekly dose of wisd","If you're a software engineer looking to grow, here are 13 resources to get your weekly dose of wisdom:

1) Data Engineering Newsletter by Zach Wilson","If you're a software engineer looking to grow, here are 13 resources to get your weekly dose of wisdom:

1) Data Engineering Newsletter by Zach Wilson",https://www.linkedin.com/posts/jordancutler1_if-youre-a-software-engineer-looking-to-activity-7261777216999407616-kb2r?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQkiF0BbAdCN7z4ZmBLHcHn1RIeKFngJs0,2024-11-11T16:30:05.829Z,idea_legos_alexis,121.0,0.0,239.9,
"This one communication shift took my friend from rejections to landing a senior 270k offer in big tech.

❌ Before, he'd get a question like, ""Tell me about how you made an impact on your team.""

And he'd answer like, ""Yeah, there was this one time... < speak for a minute on the story >... oh and there was this other time too... < another one >."" 

But the interviewer would already be lost by the end of the first one. They want someone senior, someone who can take a step back first.

I told him, you need to show your STRUCTURED thought process. Seniors speak in bullet points first, then details after.

✅ So he switched it to, ""Sure. When I'm making impact on the team, I like to think about 3 things--opportunity, effort, and risk. Each quarter, we map projects on these axes and one of the projects I proposed had high opportunity and medium effort/risk. Let me tell you more about that one, why I worked on it, and how I drove it forward...""

Once he switched to this, his interviewer's eyes started lighting up early on in his answer. He finally figured it out. Then, the offers followed.

So why is the second one better?
1. It shows you don't just jump into solutions.
2. It shows your decision criteria for action. You won't work on unimpactful work.
3. It gives your interviewer an overview first, almost like an ""agenda"" at the start of a presentation. They know what to expect.

Before you answer, take a step back, share your thought process, and show your structured thinking. Don't just dive in and start going off on stories.

--
Recently when working with Torsten Walbaum (ex-Rippling/Uber/Meta Director), I learned there was a framework this relates to called MECE--mutually exclusive, collectively exhaustive. When it gets applied, it looks a lot like the example my friend used to get his senior offers.

In today's High Growth Engineer post, Torsten shows you how to use it for 5 use cases as an engineer--interviews, investigations, debugging, explaining a system, and when proposing ideas.

Join 80k+ engineers and check it out here: https://lnkd.in/e-MBdkjg",369.0,18.0,13,400.0,1.54,Fortune Teller,Engineering Career,Industry Observation,List Post,Text-only,This one communication shift took my friend from rejections to landing a senior 270k offer in big te,"This one communication shift took my friend from rejections to landing a senior 270k offer in big tech.

❌ Before, he'd get a question like, ""Tell me ","This one communication shift took my friend from rejections to landing a senior 270k offer in big tech.

❌ Before, he'd get a question like, ""Tell me ",https://www.linkedin.com/posts/jordancutler1_this-one-communication-shift-took-my-friend-activity-7266488304399794178-2zeg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD81P2gB8COKVZLp6EQQjDG5lu3X4UjKxEQ,2024-11-24T16:30:16.593Z,idea_legos_alexis,120.0,0.0,239.9,
